Retention Time,charge,Light Mass, Light Abundance, Heavy Mass, Heavy Abundance, Ratio
1780.27, 3,442.58996582, 1412493.625, 445.260772705, 1416439.25, 1.00279337544
1780.27, 3,442.58996582, 1412493.625, 445.262542725, 1618254.875, 1.14567233888
1780.27, 3,442.58996582, 1412493.625, 445.264343262, 1306684.875, 0.925090812357
1780.27, 3,442.59173584, 1488562.25, 445.260772705, 1416439.25, 0.951548549616
1780.27, 3,442.59173584, 1488562.25, 445.262542725, 1618254.875, 1.08712610104
1780.27, 3,442.59173584, 1488562.25, 445.264343262, 1306684.875, 0.877816749014
1780.27, 3,442.593505859, 1102649.875, 445.260772705, 1416439.25, 1.28457752739
1780.27, 3,442.593505859, 1102649.875, 445.262542725, 1618254.875, 1.46760536748
1780.27, 3,442.593505859, 1102649.875, 445.264343262, 1306684.875, 1.18504060502
1780.27, 3,442.926025391, 1012811.0625, 445.596343994, 1132438.375, 1.11811414481
1786.06, 3,442.584716797, 1407844.375, 445.255462646, 1063381.5, 0.755326028134
1786.06, 3,442.584716797, 1407844.375, 445.267883301, 1114868.75, 0.791897719519
1786.06, 3,442.586456299, 5444380.5, 445.257232666, 4755896.5, 0.873542269869
1786.06, 3,442.586456299, 5444380.5, 445.259002686, 10565875.0, 1.94069371162
1786.06, 3,442.586456299, 5444380.5, 445.266113281, 5077104.5, 0.93254035055
1786.06, 3,442.588226318, 11189819.0, 445.259002686, 10565875.0, 0.944240027475
1786.06, 3,442.588226318, 11189819.0, 445.260772705, 15288549.0, 1.36629100077
1786.06, 3,442.588226318, 11189819.0, 445.262542725, 15507374.0, 1.3858467237
1786.06, 3,442.588226318, 11189819.0, 445.264343262, 11019010.0, 0.984735320562
1786.06, 3,442.58996582, 15257863.0, 445.259002686, 10565875.0, 0.692487211348
1786.06, 3,442.58996582, 15257863.0, 445.260772705, 15288549.0, 1.00201115975
1786.06, 3,442.58996582, 15257863.0, 445.262542725, 15507374.0, 1.01635294536
1786.06, 3,442.58996582, 15257863.0, 445.264343262, 11019010.0, 0.72218566912
1786.06, 3,442.59173584, 14643005.0, 445.259002686, 10565875.0, 0.721564665176
1786.06, 3,442.59173584, 14643005.0, 445.260772705, 15288549.0, 1.04408548655
1786.06, 3,442.59173584, 14643005.0, 445.262542725, 15507374.0, 1.05902948199
1786.06, 3,442.59173584, 14643005.0, 445.264343262, 11019010.0, 0.75251015758
1786.06, 3,442.593505859, 9785161.0, 445.259002686, 10565875.0, 1.07978550378
1786.06, 3,442.593505859, 9785161.0, 445.260772705, 15288549.0, 1.56242181401
1786.06, 3,442.593505859, 9785161.0, 445.262542725, 15507374.0, 1.58478475725
1786.06, 3,442.593505859, 9785161.0, 445.264343262, 11019010.0, 1.12609388849
1786.06, 3,442.593505859, 9785161.0, 445.266113281, 5077104.5, 0.518857533361
1786.06, 3,442.595245361, 4135884.5, 445.257232666, 4755896.5, 1.14991037588
1786.06, 3,442.595245361, 4135884.5, 445.266113281, 5077104.5, 1.22757405339
1786.06, 3,442.92074585, 4301992.0, 445.591003418, 2673672.25, 0.621496332397
1786.06, 3,442.92074585, 4301992.0, 445.592773438, 6386269.0, 1.48449113806
1786.06, 3,442.92074585, 4301992.0, 445.598114014, 7745263.5, 1.80039002862
1786.06, 3,442.92074585, 4301992.0, 445.599884033, 3838482.5, 0.892257005592
1786.06, 3,442.922515869, 8308387.5, 445.592773438, 6386269.0, 0.768653243484
1786.06, 3,442.922515869, 8308387.5, 445.594543457, 9733026.0, 1.17146991519
1786.06, 3,442.922515869, 8308387.5, 445.596343994, 10348210.0, 1.2455136451
1786.06, 3,442.922515869, 8308387.5, 445.598114014, 7745263.5, 0.932222227237
1786.06, 3,442.924285889, 10792182.0, 445.592773438, 6386269.0, 0.591749564639
1786.06, 3,442.924285889, 10792182.0, 445.594543457, 9733026.0, 0.901858956789
1786.06, 3,442.924285889, 10792182.0, 445.596343994, 10348210.0, 0.958861701925
1786.06, 3,442.924285889, 10792182.0, 445.598114014, 7745263.5, 0.717673543682
1786.06, 3,442.926025391, 9889572.0, 445.592773438, 6386269.0, 0.645757875063
1786.06, 3,442.926025391, 9889572.0, 445.594543457, 9733026.0, 0.984170599092
1786.06, 3,442.926025391, 9889572.0, 445.596343994, 10348210.0, 1.04637592001
1786.06, 3,442.926025391, 9889572.0, 445.598114014, 7745263.5, 0.7831747926
1786.06, 3,442.92779541, 6273639.0, 445.592773438, 6386269.0, 1.01795289783
1786.06, 3,442.92779541, 6273639.0, 445.594543457, 9733026.0, 1.5514163311
1786.06, 3,442.92779541, 6273639.0, 445.596343994, 10348210.0, 1.64947489009
1786.06, 3,442.92779541, 6273639.0, 445.598114014, 7745263.5, 1.23457270971
1786.06, 3,442.92779541, 6273639.0, 445.599884033, 3838482.5, 0.611843062695
1786.06, 3,442.92956543, 2463976.5, 445.591003418, 2673672.25, 1.08510460631
1786.06, 3,442.92956543, 2463976.5, 445.599884033, 3838482.5, 1.55784054759
1786.06, 3,443.255432129, 1967162.5, 445.9269104, 2122733.25, 1.07908383268
1786.06, 3,443.255432129, 1967162.5, 445.928710938, 3250295.75, 1.65227618461
1786.06, 3,443.255432129, 1967162.5, 445.930480957, 3469013.75, 1.76346069529
1786.06, 3,443.255432129, 1967162.5, 445.932250977, 2606512.0, 1.32501102476
1786.06, 3,443.255432129, 1967162.5, 445.934051514, 1300558.625, 0.661134311477
1786.06, 3,443.257171631, 3485631.25, 445.9269104, 2122733.25, 0.608995357728
1786.06, 3,443.257171631, 3485631.25, 445.928710938, 3250295.75, 0.932484108868
1786.06, 3,443.257171631, 3485631.25, 445.930480957, 3469013.75, 0.995232570858
1786.06, 3,443.257171631, 3485631.25, 445.932250977, 2606512.0, 0.747787649655
1786.06, 3,443.25894165, 4204519.0, 445.9269104, 2122733.25, 0.504869463071
1786.06, 3,443.25894165, 4204519.0, 445.928710938, 3250295.75, 0.773048177449
1786.06, 3,443.25894165, 4204519.0, 445.930480957, 3469013.75, 0.825067920968
1786.06, 3,443.25894165, 4204519.0, 445.932250977, 2606512.0, 0.619931078918
1786.06, 3,443.26071167, 3570910.0, 445.9269104, 2122733.25, 0.594451624376
1786.06, 3,443.26071167, 3570910.0, 445.928710938, 3250295.75, 0.910214973214
1786.06, 3,443.26071167, 3570910.0, 445.930480957, 3469013.75, 0.971464906704
1786.06, 3,443.26071167, 3570910.0, 445.932250977, 2606512.0, 0.729929345741
1786.06, 3,443.262481689, 2060382.625, 445.9269104, 2122733.25, 1.03026167288
1786.06, 3,443.262481689, 2060382.625, 445.928710938, 3250295.75, 1.57752046176
1786.06, 3,443.262481689, 2060382.625, 445.930480957, 3469013.75, 1.68367453108
1786.06, 3,443.262481689, 2060382.625, 445.932250977, 2606512.0, 1.26506211437
1786.06, 3,443.262481689, 2060382.625, 445.934051514, 1300558.625, 0.631221895011
1787.58, 3,442.584716797, 1657129.25, 445.255462646, 1500195.875, 0.905298047814
1787.58, 3,442.584716797, 1657129.25, 445.266113281, 2137539.25, 1.28990496668
1787.58, 3,442.586456299, 4790749.5, 445.257232666, 4756108.0, 0.992769085505
1787.58, 3,442.586456299, 4790749.5, 445.259002686, 8747359.0, 1.82588528162
1787.58, 3,442.586456299, 4790749.5, 445.264343262, 5855950.5, 1.22234537623
1787.58, 3,442.588226318, 8354437.5, 445.257232666, 4756108.0, 0.56929122996
1787.58, 3,442.588226318, 8354437.5, 445.259002686, 8747359.0, 1.0470314728
1787.58, 3,442.588226318, 8354437.5, 445.260772705, 10932120.0, 1.30854052113
1787.58, 3,442.588226318, 8354437.5, 445.262542725, 9651189.0, 1.15521709271
1787.58, 3,442.588226318, 8354437.5, 445.264343262, 5855950.5, 0.700938932154
1787.58, 3,442.58996582, 9997746.0, 445.259002686, 8747359.0, 0.874933109923
1787.58, 3,442.58996582, 9997746.0, 445.260772705, 10932120.0, 1.09345846554
1787.58, 3,442.58996582, 9997746.0, 445.262542725, 9651189.0, 0.965336486844
1787.58, 3,442.58996582, 9997746.0, 445.264343262, 5855950.5, 0.585727072882
1787.58, 3,442.59173584, 8455977.0, 445.257232666, 4756108.0, 0.562455172241
1787.58, 3,442.59173584, 8455977.0, 445.259002686, 8747359.0, 1.034458703
1787.58, 3,442.59173584, 8455977.0, 445.260772705, 10932120.0, 1.29282754672
1787.58, 3,442.59173584, 8455977.0, 445.262542725, 9651189.0, 1.14134522835
1787.58, 3,442.59173584, 8455977.0, 445.264343262, 5855950.5, 0.692522046831
1787.58, 3,442.593505859, 4878890.5, 445.257232666, 4756108.0, 0.974833929968
1787.58, 3,442.593505859, 4878890.5, 445.259002686, 8747359.0, 1.79289922576
1787.58, 3,442.593505859, 4878890.5, 445.262542725, 9651189.0, 1.97815240986
1787.58, 3,442.593505859, 4878890.5, 445.264343262, 5855950.5, 1.20026274416
1787.58, 3,442.595245361, 1650795.25, 445.255462646, 1500195.875, 0.908771620829
1787.58, 3,442.595245361, 1650795.25, 445.266113281, 2137539.25, 1.29485425282
1787.58, 3,442.919006348, 1329772.125, 445.591003418, 2580760.5, 1.94075394685
